macModule,rssi,Position
A8032A311FAA_4m,-67,
A8032A311FAA_4m,-66,
C45BBE39F9AE_13m,-64,
A8032A31204E_29m,-69,
C45BBE37B346_52m,-79,
A8032A31204E_29m,-67,
C45BBE386952_65m,-79,
C45BBE386952_65m,-78,
C45BBE39F56A_56m,-66,
C45BBE37B346_52m,-60,
C45BBE384CD2_89m,-76,
C45BBE39F56A_56m,-69,
C45BBE37B346_52m,-78,
C45BBE386952_65m,-57,
C45BBE386952_65m,-62,
C45BBE39F56A_56m,-73,
C45BBE37B346_52m,-74,
C45BBE37B346_52m,-75,
C45BBE386952_65m,-63,
C45BBE39F56A_56m,-69,
C45BBE386952_65m,-63,
C45BBE39F56A_56m,-72,
C45BBE37B346_52m,-80,
C45BBE37B346_52m,-79,
C45BBE386952_65m,-70,
C45BBE39F56A_56m,-66,
C45BBE37B346_52m,-76,
C45BBE386952_65m,-68,
C45BBE39F56A_56m,-76,
C45BBE39F56A_56m,-75,
C45BBE386952_65m,-79,
C45BBE386952_65m,-75,
C45BBE37B346_52m,-78,
C45BBE39F56A_56m,-80,
C45BBE37B346_52m,-79,
C45BBE386952_65m,-78,
C45BBE39F56A_56m,-70,
C45BBE37B346_52m,-78,
C45BBE386952_65m,-69,
C45BBE39F56A_56m,-63,
C45BBE37B346_52m,-76,
C45BBE386952_65m,-65,
C45BBE39F56A_56m,-79,
C45BBE39F56A_56m,-63,
C45BBE37B346_52m,-74,
C45BBE386952_65m,-61,
C45BBE39F56A_56m,-65,
C45BBE37B346_52m,-79,
C45BBE386952_65m,-68,
C45BBE37B346_52m,-73,
C45BBE386952_65m,-61,
C45BBE39F56A_56m,-64,
C45BBE39F56A_56m,-62,
C45BBE386952_65m,-61,
C45BBE37B346_52m,-73,
C45BBE386952_65m,-61,
C45BBE37B346_52m,-72,
C45BBE39F56A_56m,-62,
C45BBE386952_65m,-69,
C45BBE37B346_52m,-72,
C45BBE39F56A_56m,-62,
C45BBE37B346_52m,-72,
C45BBE39F56A_56m,-62,
C45BBE386952_65m,-62,
C45BBE386952_65m,-62,
C45BBE37B346_52m,-73,
C45BBE39F56A_56m,-64,
C45BBE37B346_52m,-73,
C45BBE39F56A_56m,-64,
C45BBE386952_65m,-62,
C45BBE386952_65m,-62,
C45BBE39F56A_56m,-65,
C45BBE37B346_52m,-73,
C45BBE37B346_52m,-73,
C45BBE39F56A_56m,-63,
C45BBE386952_65m,-62,
C45BBE386952_65m,-63,
C45BBE39F56A_56m,-62,
C45BBE37B346_52m,-73,
C45BBE386952_65m,-63,
C45BBE39F56A_56m,-63,
C45BBE37B346_52m,-72,
C45BBE39F56A_56m,-62,
C45BBE37B346_52m,-73,
C45BBE386952_65m,-64,
C45BBE37B346_52m,-73,
C45BBE39F56A_56m,-62,
C45BBE386952_65m,-64,
C45BBE386952_65m,-63,
C45BBE37B346_52m,-74,
C45BBE39F56A_56m,-63,
C45BBE386952_65m,-62,
C45BBE37B346_52m,-75,
C45BBE39F56A_56m,-74,
C45BBE37B346_52m,-74,
C45BBE39F56A_56m,-75,
C45BBE386952_65m,-61,
C45BBE386952_65m,-61,
C45BBE39F56A_56m,-76,
C45BBE37B346_52m,-75,
C45BBE386952_65m,-61,
C45BBE39F56A_56m,-79,
C45BBE37B346_52m,-75,
C45BBE386952_65m,-62,
C45BBE39F56A_56m,-76,
